address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
"145, Next to William Penn, 1st Cross, 5th Block, Koramangala 5th Block, Bangalore",Barista,No,No,3.5,66,Koramangala 5th Block,Cafe,Cafe,300,Cafes,Koramangala 6th Block
"360 ,1st Main, Koramangala 7th Block, Bangalore",The Chocolate Room,No,No,3.8,63,Koramangala 7th Block,"Cafe, Bakery","Cafe, Desserts, Bakery",600,Cafes,Koramangala 6th Block
"Shop 756, 80 Feet Road, 4th Block, Koramangala 4th Block, Bangalore",Costa Coffee,No,No,4.0,236,Koramangala 4th Block,Cafe,"Cafe, Fast Food",500,Cafes,Koramangala 6th Block
"426, 8th Main Road Koramangala 4th Block, Bangalore",Hungry Travellers Cafe,No,No,3.8,27,Koramangala 4th Block,Cafe,Cafe,450,Cafes,Koramangala 6th Block
"3, 60 Feet Road, 1st Cross Road, Koramangala 5th Block, Bangalore",Bun Town,Yes,No,3.8,22,Koramangala 5th Block,Cafe,"Cafe, Bakery",500,Cafes,Koramangala 6th Block
"584, 80 Feet Road, 5th Floor, Koramangala 8th Block, Bangalore",TRIGEREATO,Yes,Yes,4.4,103,Koramangala 8th Block,Cafe,"Cafe, Continental, Beverages",700,Cafes,Koramangala 6th Block
"11, 7th Cross, 3rd Block Koramangala, Near Raheja residency, Koramangala 3rd Block, Bangalore",Cafe On The Way,Yes,No,4.0,275,Koramangala 3rd Block,Cafe,Cafe,500,Cafes,Koramangala 6th Block
"66, First Floor, JNC Road, Koramangala 5th Block, Bangalore",Dhuaan,No,No,4.3,139,Koramangala 5th Block,Cafe,"Cafe, Continental",800,Cafes,Koramangala 6th Block
"150, 1st Cross Rd, Jakasandra Block, Koramangala 3 Block, Koramangala, Bengaluru, Karnataka 560034",M World Cafe,Yes,No,3.5,14,Koramangala 1st Block,Cafe,Cafe,500,Cafes,Koramangala 6th Block
"29, Ashrith Square, 1st Main, 6th Cross, Koramangala 1st Block, Bangalore",Loca Moca,No,No,3.7,46,Koramangala 1st Block,Cafe,"Cafe, Continental",600,Cafes,Koramangala 6th Block
"18, 36, Ground Floor, Raheja Arcade, 7th Block, Koramangala 7th Block, Bangalore",Om's Cafe Prana,No,No,3.6,17,Koramangala 7th Block,Cafe,"Cafe, Fast Food",300,Cafes,Koramangala 6th Block
"627/628, 5th Cross, 15th Main, 80 Feet Road, 4th Block, Koramangala, Bangalore",G Resto Cafe,No,No,3.3,4,Koramangala 4th Block,Cafe,"Cafe, Fast Food, Beverages",400,Cafes,Koramangala 6th Block
"752, 1st Floor, 80 Feet Road, Koramangala 4th Block, Bangalore",Caf S,No,No,3.2,4,Koramangala 4th Block,Cafe,"Cafe, American, European",600,Cafes,Koramangala 6th Block
"34, 1st Main, Next To HDFC Bank, 1st Block, Koramangala, Bangalore",Dreams Cafe - All Day English Food St.,Yes,No,3.8,230,Koramangala 1st Block,Cafe,"Cafe, Continental, Burger",600,Cafes,Koramangala 6th Block
"22, First Cross, Kaveri Layout, Taverekere Main Road, Koramangala 5th Block, Bangalore",On The Nose,Yes,No,2.7,26,Koramangala 5th Block,Cafe,"Cafe, Italian, Mexican, Chinese",600,Cafes,Koramangala 6th Block
"925, Opposite Magnus Diagnostic Center, ST Bed Layout, Koramangala 4th Block, Bangalore",Oregano Pizzeria,Yes,No,3.7,52,Koramangala 4th Block,Cafe,"Cafe, Italian, Pizza",450,Cafes,Koramangala 6th Block
"1, KDP Building, 4th Floor, Near Forum Mall, Above NEXA showroom, Hosur Road, BTM, Bangalore",Mudpipe Cafe,Yes,Yes,4.5,1879,BTM,Cafe,"Cafe, Continental, Burger",900,Cafes,Koramangala 6th Block
"280, Amarjyothi Layout, Opposite DELL, Inner Ring Road, Domlur, Bangalore",Loveshack,No,Yes,4.0,1778,Domlur,"Lounge, Cafe","Continental, Pizza, North Indian, Goan, Burger, Cafe",1600,Cafes,Koramangala 6th Block
"3, Christ School Main Road, Bharathi Layout, SG Palya, BTM, Bangalore",Black Cup Cafe,Yes,No,3.7,28,BTM,Cafe,"Cafe, Fast Food, Beverages",400,Cafes,Koramangala 6th Block
"28, Ground Floor, SG Palaya, Behind Chirst College, BTM, Bangalore",Bakers Town,Yes,No,3.6,42,BTM,Cafe,"Cafe, Continental, Fast Food",600,Cafes,Koramangala 6th Block
"15, SG Palya Main Road, Near Srinivas theatre, Venkateshwara Layout, BTM, Bangalore",Shake Tat Bottle,Yes,No,3.2,6,BTM,Beverage Shop,Beverages,200,Cafes,Koramangala 6th Block
"30, SG Palya Main Road, Madiwala, BTM, Bangalore",Cafe 221B,Yes,Yes,3.7,49,BTM,Cafe,"Cafe, Beverages",300,Cafes,Koramangala 6th Block
"8, Chikkalakshmaiah Layout, Near Christ University, Hosur Main Road, BTM, Bangalore",De Street Cafe,No,No,3.6,61,BTM,Cafe,Cafe,500,Cafes,Koramangala 6th Block
"142, 8th Cross Road, Venkateshwara Layout, SG Palya, BTM, Bangalore",Cafe Hush,No,No,3.6,22,BTM,Cafe,"Cafe, Fast Food",500,Cafes,Koramangala 6th Block
"6th Floor, Maruti Infotech Center, A Block, Inner Ring Road, Domlur, Bangalore",Cafe Velvette,No,No,3.5,11,Domlur,"Cafe, Dessert Parlor","Cafe, American, Italian, Continental",400,Cafes,Koramangala 6th Block
"1187, Shop 1, 18th Main, Cashier Layout, Chocolate Factory Road, 1st Stage, BTM, Bangalore",Granos De Cafe,No,No,3.7,31,BTM,Cafe,"Cafe, Beverages",500,Cafes,Koramangala 6th Block
"120, 1st Main Road, SG Palya, Near Christ University, BTM, Bangalore",The 90s Hash House,No,No,3.8,63,BTM,Cafe,Cafe,500,Cafes,Koramangala 6th Block
"42, 1st Main, Jakkasandra Road, Near Wipro Park, Koramangala 1st Block, Bangalore",Sardarji Londonwaley,Yes,No,4.1,327,Koramangala 1st Block,Delivery,North Indian,450,Delivery,Koramangala 6th Block
"59, 9th Main, Old Gurappanapalya, BTM, Bangalore",Ilyazsab The House Of Chicken,Yes,No,4.0,120,BTM,Quick Bites,"Rolls, Kebab",250,Delivery,Koramangala 6th Block
"96, 29th Main, 23rd Cross, 2nd Stage, BTM, Bangalore",eat.fit,Yes,No,4.5,1193,BTM,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Delivery,Koramangala 6th Block
Delivery Only,FreshMenu,Yes,No,3.9,585,Koramangala,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Koramangala 6th Block
"808, 1st Floor, Above Eye World Optical, 7th Cross, 2nd Stage, BTM, Bangalore",Sai Abhiruchi,Yes,No,3.8,340,BTM,Casual Dining,"Andhra, North Indian, Biryani",800,Delivery,Koramangala 6th Block
Delivery Only,Aligarh House,Yes,No,4.4,107,Koramangala,Delivery,"North Indian, Biryani, Awadhi, Mughlai",400,Delivery,Koramangala 6th Block
"5th Main, Sector 7, HSR, Bangalore",Shanmukha,Yes,No,4.0,996,HSR,Casual Dining,"Biryani, Andhra, North Indian, Chinese",800,Delivery,Koramangala 6th Block
"765, 1st Floor, 1st Main, Domlur Layout, Domlur, Bangalore",Kerala Pavilion,Yes,No,3.9,306,Domlur,Quick Bites,"Kerala, South Indian, Seafood, Biryani",300,Delivery,Koramangala 6th Block
"27/4, Outer Ring Road, Stage 2, BTM, Bangalore",Fattoush,Yes,No,4.2,1295,BTM,Casual Dining,"Arabian, Mughlai, Biryani, North Indian, Chinese, Seafood",900,Delivery,Koramangala 6th Block
"49, 7th Cross, Maruthi Nagar Main Road, 1st Stage, BTM, Bangalore",Gogula's Sweets & Chats,Yes,No,4.0,208,BTM,"Sweet Shop, Quick Bites","Mithai, Street Food, Fast Food",200,Delivery,Koramangala 6th Block
"117, 1st Main, Jakkasandra Extension, Koramangala 1st Block, Bangalore",Delhi Food Point,Yes,No,3.3,911,Koramangala 1st Block,Quick Bites,"North Indian, Beverages",250,Delivery,Koramangala 6th Block
"1554, Ground Floor, 19th Main, Sector 1, HSR, Bangalore",The Paratha Company,Yes,No,4.3,169,HSR,Delivery,North Indian,400,Delivery,Koramangala 6th Block
"14th Main, Sector 4, HSR, Bangalore",Fish Chain,Yes,No,4.0,58,HSR,"Takeaway, Delivery","Seafood, BBQ, Biryani",250,Delivery,Koramangala 6th Block
"12, 60 Feet Road, Koramangala 6th Block, Bangalore",Khatta Meetha Teekha,Yes,No,4.3,193,Koramangala 6th Block,Quick Bites,"Street Food, North Indian, Mithai, Chinese, Beverages",300,Delivery,Koramangala 6th Block
"619, 1st Floor, Arwaaz Arcade, Near Sony Signal, 80Ft Main Road, Koramangala 6th Block, Bangalore",Mojo Pizza - 2X Toppings,Yes,No,4.4,115,Koramangala 6th Block,"Takeaway, Delivery",Pizza,600,Delivery,Koramangala 6th Block
"Chocolate Factory Road,7, 3rd Cross Cashire Layout ,1st Tavarekere",Chettayees,Yes,No,3.4,154,BTM,Quick Bites,"Kerala, North Indian, Chinese",400,Delivery,Koramangala 6th Block
"948, 16th Main, MICO Layout, 2nd Stage, BTM, Bangalore",XO Belgian Waffle,Yes,No,4.5,563,BTM,Dessert Parlor,"Desserts, Beverages",400,Delivery,Koramangala 6th Block
"785, 2nd B Main, Bhuvaneshwari Road, Next to Kaveri Associates, Koramangala 8th Block, Bangalore",Behrouz Biryani,Yes,No,4.0,358,Koramangala 8th Block,Delivery,Biryani,650,Delivery,Koramangala 6th Block
"14th Main, 4th Sector, HSR, Bangalore",Easy Bites,Yes,No,3.9,47,HSR,"Takeaway, Delivery","Fast Food, Sandwich",300,Delivery,Koramangala 6th Block
"123, KHB 1st Cross Road, Koramangala 5th Block, Bangalore",Leon Grill,Yes,No,4.3,171,Koramangala 5th Block,Quick Bites,"Burger, Fast Food",500,Delivery,Koramangala 6th Block
"24, Shankar Plaza, 80 Feet Road, Koramangala 4th Block, Bangalore",La Pino'z Pizza,Yes,No,4.1,506,Koramangala 4th Block,Quick Bites,"Italian, Pizza, Beverages",600,Delivery,Koramangala 6th Block
"104/2, 1st Cross, 20th Main, Maruthi Nagar Main Road, 1st Stage, BTM, Bangalore",New Tasty Cafeteria,Yes,No,3.8,377,BTM,Quick Bites,"North Indian, Kerala",500,Delivery,Koramangala 6th Block
"A/4, KHB Colony, Near Airtel Office, 5th Block, 80 Feet Road, Koramangala 5th Block, Bangalore",Momoz,No,No,3.9,626,Koramangala 5th Block,Casual Dining,"Chinese, Momos",600,Delivery,Koramangala 6th Block
"115, 31st Main, 2nd Stage, Behind Bus Stand, BTM , Bangalore",Abhiruchi Hotel,Yes,No,3.5,739,BTM,Casual Dining,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",600,Delivery,Koramangala 6th Block
"119, Neardevi Eye Clinic, Sector 5, HSR, Bangalore",Hotel Manu,Yes,No,3.8,342,HSR,Quick Bites,"South Indian, Kerala, Chinese, North Indian",400,Delivery,Koramangala 6th Block
"774, 3rd Floor, 16th Main, 7th Cross, 2nd Stage, BTM, Bangalore",Capsicum Family Restaurant,Yes,No,3.8,257,BTM,Casual Dining,"Biryani, North Indian",800,Delivery,Koramangala 6th Block
"Shop 42A/A, First Floor, Jakkasandra Village, Sarjapura Main Road, Koramangala 1st Block, Bangalore",Truly Punjab,Yes,No,4.1,391,Koramangala 1st Block,"Takeaway, Delivery","North Indian, Biryani",500,Delivery,Koramangala 6th Block
"Shop 6, 1st Main Road, Muneshawara Nagar, Sector 6, HSR, Bangalore",Mid-Night Crunch,Yes,No,3.7,455,HSR,"Takeaway, Delivery","North Indian, Chinese",400,Delivery,Koramangala 6th Block
"370, Wind Tunnel Road, Murgeshpalya, Old Airport Road, Bangalore",A 1 Pizza and Food,Yes,No,2.8,213,Old Airport Road,Delivery,"Pizza, Chinese, North Indian",300,Delivery,Koramangala 6th Block
"947, 16th Main Road, 2nd Stage, BTM, Bangalore",Swadista Aahar,Yes,No,4.1,789,BTM,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Koramangala 6th Block
"1081, Ground Floor, Sector 3, HSR, Bangalore",Burger King,Yes,No,4.1,359,HSR,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,Koramangala 6th Block
"1, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",Vegetarea,Yes,No,3.8,40,BTM,"Takeaway, Delivery",South Indian,250,Delivery,Koramangala 6th Block
"Kalyan Mansion Residency, Chocolate Factory Road, Tavarekere, BTM, Bangalore",Kannur Food Point,Yes,No,3.7,217,BTM,Quick Bites,"Kerala, Chinese",200,Delivery,Koramangala 6th Block
"18, 4th Main, 14th Cross, 4th Link Road, Maruthi Nagar, Madiwala, BTM, Bangalore",Biryani Pot,Yes,No,3.8,1080,BTM,Casual Dining,Biryani,500,Delivery,Koramangala 6th Block
"71/72, The Elite, 5th Block, JNC Road, Industrial Layout, Koramangala, Koramangala 5th Block, Bangalore",Just Shawarma,Yes,No,4.0,413,Koramangala 5th Block,Quick Bites,Arabian,300,Delivery,Koramangala 6th Block
"537, 1st Main, Near Bethani School, 8th Block, Koramangala 8th Block, Bangalore",Sri Ganesh Juice Junction,Yes,No,4.1,212,Koramangala 8th Block,Beverage Shop,"Beverages, Juices, Fast Food",150,Delivery,Koramangala 6th Block
"688, 7th Main, 10th Cross Main Road, 2nd Stage, BTM, Bangalore",Roti Wala,Yes,No,4.0,201,BTM,Quick Bites,North Indian,300,Delivery,Koramangala 6th Block
"144, Ramaiah Street, Between Diamond District & Anjaneya Tech Park, HAL, Old Airport Road, Bangalore",Gurukrupa Paratha House,Yes,No,3.9,641,Old Airport Road,Quick Bites,"North Indian, Chinese",400,Delivery,Koramangala 6th Block
"1, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",CakeZone,Yes,No,4.1,18,BTM,Bakery,"Bakery, Desserts",200,Delivery,Koramangala 6th Block
"2nd Floor, Transit, Forum Mall, Hosur Road, Koramangala 5th Block, Bangalore",Subway,Yes,No,3.7,219,Koramangala 5th Block,"Quick Bites, Food Court","Salad, Fast Food",600,Delivery,Koramangala 6th Block
"1st A Cross, Cashier Layout, Maruthi Nagar, B-1 Stage",Andhra Kitchen,Yes,No,4.1,189,BTM,Quick Bites,"Andhra, Biryani",400,Delivery,Koramangala 6th Block
"3, Brindavan Complex, 20th Main, Maruthi Nagar Main Road, 1st Stage, BTM Layout",Muthashy's,Yes,No,4.2,469,BTM,Quick Bites,"Kerala, South Indian, Chinese",400,Delivery,Koramangala 6th Block
"50/1 Opposite Jyothi Niwas College, Koramangala 5th Block, Bangalore",Wok Paper Scissors,Yes,No,4.3,1593,Koramangala 5th Block,Casual Dining,"Asian, Malaysian, Chinese, Thai, Momos",550,Delivery,Koramangala 6th Block
"122B, First Cross Road, Koramangala 5th Block, Bangalore",Madeena Hotel,Yes,No,4.0,88,Koramangala 5th Block,Quick Bites,"North Indian, Mughlai, Biryani",400,Delivery,Koramangala 6th Block
"103, Industrial Area, 5th Block, Near Jyothi Nivas College",Empire Restaurant,Yes,No,4.1,6948,Koramangala 5th Block,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery,Koramangala 6th Block
"63, 5th Block, Jyoti Nivas College Road, Bengaluru, Koramangala 5th Block, Bangalore",Namma Biriyani,Yes,No,3.7,17,Koramangala 5th Block,Quick Bites,"Biryani, Chinese, North Indian",250,Delivery,Koramangala 6th Block
"324, 23rd Main, 3rd Cross, 2nd Stage, BTM, Bangalore",Swad Punjab Da,Yes,No,4.1,133,BTM,Quick Bites,North Indian,150,Delivery,Koramangala 6th Block
"26-27, MICO Layout, 6th Main, 2nd Stage, BTM, Bangalore",Apna Punjab,Yes,No,3.7,479,BTM,Quick Bites,"North Indian, Chinese, Fast Food",450,Delivery,Koramangala 6th Block
"148, 1st Floor, 9th Main, 6th Sector, HSR, Bangalore",Birinz,Yes,No,4.3,83,HSR,Casual Dining,"Biryani, Kebab, Fast Food",650,Delivery,Koramangala 6th Block
"785, 2nd B main, Bhuvaneshwari Road, Next to Kaveri Associates, Koramangala 8th Block, Bangalore",Faasos,Yes,No,4.0,461,Koramangala 8th Block,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery,Koramangala 6th Block
"74/2A, K.R. Garden, Koramangala 8th Block, Bangalore",Cake Box,Yes,No,3.4,99,Koramangala 8th Block,Bakery,"Bakery, Desserts",400,Delivery,Koramangala 6th Block
"146, Near William Penn, Koramangala 5th Block, Bangalore",Corner House Ice Cream,Yes,No,4.6,278,Koramangala 5th Block,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Koramangala 6th Block
"Kitchens@, 14th Main, 5th Sector, HSR, Bangalore",Al-Bek,Yes,No,3.6,140,HSR,"Takeaway, Delivery","Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",300,Delivery,Koramangala 6th Block
"41, 1st Main, Jakkasandra Road, Near Wipro Park, Koramangala 1st Block, Bangalore",Punjabi Nawabi,Yes,No,4.0,108,Koramangala 1st Block,Casual Dining,North Indian,500,Delivery,Koramangala 6th Block
"7, 1st Floor, HSR Layout, Sector 7, Bangalore",Dhaba Express,Yes,No,3.7,175,HSR,"Takeaway, Delivery","Biryani, Fast Food, North Indian, Chinese",400,Delivery,Koramangala 6th Block
"01, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",Kitchens@BTM,Yes,No,3.9,232,BTM,"Takeaway, Delivery","Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",400,Delivery,Koramangala 6th Block
"14th Main, 4th Sector HSR, Bangalore",MRA,Yes,No,3.7,25,HSR,"Takeaway, Delivery",Bakery,200,Delivery,Koramangala 6th Block
"927 H, 1st Floor, 1st A Main, Koramangala 4th Block, Bangalore",Maa Bhook Lagi,Yes,No,3.9,297,Koramangala 4th Block,"Takeaway, Delivery",North Indian,400,Delivery,Koramangala 6th Block
"891/ A, 7th Main Road, Near Wipro Park, Koramangala 1st Block, Bangalore",Hakka Chinese Restaurant,Yes,No,3.9,332,Koramangala 1st Block,Casual Dining,"Chinese, Thai",600,Delivery,Koramangala 6th Block
"15/A, 4th Main, Behind Ayyappa Swamy Temple, Madiwala, BTM, Bangalore",Royal Biryani Kitchen,Yes,No,3.9,193,BTM,Quick Bites,"Biryani, North Indian, Kebab",600,Delivery,Koramangala 6th Block
"5th Floor, L167, Outer Ring Road, Service Lane, Sector 6, HSR, Bangalore",Zero Mile Punjab,Yes,Yes,4.1,1342,HSR,Casual Dining,"North Indian, Mughlai",800,Delivery,Koramangala 6th Block
"513, Opposite Ganesh Temple, Koramangala 8th Block, Bangalore",Sri Ganesh Juice Junction,Yes,No,3.7,129,Koramangala 8th Block,Beverage Shop,"Juices, Fast Food",150,Delivery,Koramangala 6th Block
"15/A, 4th Main, Behind Ayyappa Swamy Temple, Madiwala, BTM, Bangalore",Dum Biryani Hub,Yes,No,3.9,66,BTM,Quick Bites,Biryani,700,Delivery,Koramangala 6th Block
"206, 7th Cross Road, Teacher's Colony, Sector 5, HSR, Bangalore",Nandhanam Restaurant,Yes,No,3.8,8,HSR,Quick Bites,"South Indian, Kerala",300,Delivery,Koramangala 6th Block
"Eat Street, 419, 80 Feet Road, Koramangala 6th Block, Bangalore",Chaat Street,Yes,No,3.9,293,Koramangala 6th Block,Kiosk,"Street Food, North Indian",250,Delivery,Koramangala 6th Block
"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",30 Square,Yes,No,4.2,557,Koramangala 5th Block,Quick Bites,"Tibetan, Nepalese, Momos",400,Delivery,Koramangala 6th Block
"11, 19 Cross, 13th A Main, NS Palya, 2nd Stage, BTM, Bangalore",New Mahesh Friends Food Corner,Yes,No,3.2,55,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,Koramangala 6th Block
"18/1, Wellington Street, Opposite The Frank Anthony Junior Public School, Richmond Road, Bangalore",Kabab Souq,Yes,No,3.6,112,Richmond Road,Quick Bites,"Kebab, North Indian, Arabian, Chinese",500,Delivery,Koramangala 6th Block
"44, First Floor, 4th B Cross Road, Koramangala 5th Block, Bangalore",Biryanis And More,Yes,No,3.7,22,Koramangala 5th Block,Quick Bites,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Koramangala 6th Block
"101, 1st Floor, 3rd Cross, Narayana Reddy Layout, 80 Feet Road, Koramangala 6th Block, Bangalore",Midnight Mania,Yes,No,4.1,725,Koramangala 6th Block,Delivery,"Pizza, Italian, Beverages",700,Delivery,Koramangala 6th Block
"314/B, 20th Main, 80 Feet Road, 8th Block, Opposite Panchamuki Anjaneya Temple, Koramangala 8th Block, Bangalore",Sagar Fast Food,Yes,No,4.0,138,Koramangala 8th Block,Quick Bites,"South Indian, North Indian, Street Food, Chinese",250,Delivery,Koramangala 6th Block
"14th Main, 4th Sector, HSR, Bangalore",Beijing Bites,Yes,No,3.3,16,HSR,"Takeaway, Delivery","Chinese, Thai, Momos",400,Delivery,Koramangala 6th Block
"10, Near Jayadeva Signal, Oppoite SBI ATM, 100 Feet Ring Road, 2nd Stage, BTM, Bangalore",Delight Food,Yes,No,2.6,175,BTM,Casual Dining,"Andhra, Chinese, Biryani",450,Delivery,Koramangala 6th Block
"14th Main, 4th Sector, HSR, Bangalore",Punjabites,Yes,No,3.9,9,HSR,"Takeaway, Delivery","North Indian, Charcoal Chicken",400,Delivery,Koramangala 6th Block
"84, Hosur Main Road, Madivala, BTM, Bangalore",Savoury Restaurant,Yes,No,3.9,421,BTM,Casual Dining,"Arabian, North Indian, Chinese, Fast Food",800,Delivery,Koramangala 6th Block
"998/N, Ground Floor, Opposite To HDFC Bank, 1st Main, Koramangala 1st Block, Bangalore",Hatti Punjab Di,Yes,No,3.9,234,Koramangala 1st Block,"Takeaway, Delivery","North Indian, Chinese",250,Delivery,Koramangala 6th Block
"303, 1st Main, 1st Block, Jakkasandra, Koramangala 1st Block, Bangalore",Ambur Biryani Point,Yes,No,4.2,429,Koramangala 1st Block,Quick Bites,"Biryani, Kebab",250,Delivery,Koramangala 6th Block
"478, 80 Feet Road, 6th Block, Koramangala 6th Block, Bangalore",Pizza Hut,Yes,No,3.9,490,Koramangala 6th Block,Casual Dining,"Pizza, Fast Food",750,Delivery,Koramangala 6th Block
"14, 29th Main, 100 Feet Road, 1st Stage, BTM, Bangalore",Sri Vishnu Park,Yes,No,3.8,100,BTM,Casual Dining,"South Indian, North Indian, Chinese",350,Delivery,Koramangala 6th Block
"124, Near Jyothi Nivas College, 1st Cross, KHB Colony, Koramangala 5th Block, Bangalore",Meghana Foods,Yes,No,4.4,7234,Koramangala 5th Block,Casual Dining,"Biryani, Seafood, Andhra, North Indian",600,Delivery,Koramangala 6th Block
"2/3, 80 Feet Road, Sony World Signal, Opposite Sapphirez, Koramangala 6th Block, Bangalore",Taco Bell,Yes,No,4.1,1963,Koramangala 6th Block,Quick Bites,"Mexican, American, Fast Food",600,Delivery,Koramangala 6th Block
"Shop 93, 17th H Main Road, KHB Colony, Koramangala 5th Block, Bangalore",Village Donne Biryani,Yes,No,3.3,50,Koramangala 5th Block,Quick Bites,Biryani,300,Delivery,Koramangala 6th Block
"#88.KK center Jyoti nivas collage road,Industrial Area, Koramangala 5th Block, Bangalore 560094",Bathinda Junction,Yes,Yes,4.1,1250,Koramangala 5th Block,Casual Dining,North Indian,600,Delivery,Koramangala 6th Block
"G-3,1210,16th Main Road, Opposite IS Colony Park, 2nd Stage, BTM, Bangalore",Kullad Cafe,Yes,No,3.9,333,BTM,Cafe,"North Indian, Cafe, Fast Food, Beverages",200,Delivery,Koramangala 6th Block
"385, 8th Main, 4th Block, Vivek Nagar, Ejipura, Bangalore",Punjabi Dhaba,Yes,No,3.4,356,Ejipura,Quick Bites,North Indian,350,Delivery,Koramangala 6th Block
"Building 5, 4th Cross, Maruthi Nagar, Madiwala, BTM, Bangalore, Bengaluru",Refills Eatery And Beverages,Yes,No,3.8,92,BTM,Delivery,"North Indian, South Indian, Chinese",400,Delivery,Koramangala 6th Block
"562, 8th Main, Koramangala 4th Block, Bangalore",Onesta,Yes,Yes,4.4,9080,Koramangala 4th Block,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery,Koramangala 6th Block
"177/178, Amarjyoti Layout, Domlur, Bangalore",The Paramount Hotel,Yes,No,2.9,323,Domlur,Casual Dining,"North Indian, Chinese, Kerala, Mughlai, Arabian, Beverages",1000,Delivery,Koramangala 6th Block
"115, 30th Main, 2nd Stage, Nanjappa Reddy Layout, BTM, Bangalore",Night Biryani,Yes,No,3.2,21,BTM,"Takeaway, Delivery","Biryani, North Indian",600,Delivery,Koramangala 6th Block
"01, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",Polar Bear,Yes,No,3.9,21,BTM,"Takeaway, Delivery","Desserts, Ice Cream",300,Delivery,Koramangala 6th Block
"635, 100 Feet Road, Koramangala 6th Block, Bangalore",Kota Kachori,Yes,No,4.3,3618,Koramangala 6th Block,Quick Bites,"Street Food, Desserts, North Indian, Mithai, Rajasthani",400,Delivery,Koramangala 6th Block
"Kitchens@, 14th Main, 5th Sector, HSR, Bangalore",A2B - Adyar Ananda Bhavan,Yes,No,4.2,41,HSR,"Takeaway, Delivery","South Indian, North Indian, Chinese, Street Food",200,Delivery,Koramangala 6th Block
"28, 1st Cross, Maruthi Nagar, Madiwala, BTM, Bangalore",Savoury - Sea Shell Restaurant,Yes,No,3.9,468,BTM,Casual Dining,"Arabian, North Indian, Chinese, Fast Food",700,Delivery,Koramangala 6th Block
"143/A, 60 Feet Road, Koramangala 5th Block, Bangalore",Anand Sweets And Savouries,Yes,No,4.2,1077,Koramangala 5th Block,Sweet Shop,"Mithai, Street Food",400,Delivery,Koramangala 6th Block
"70, Jyoti Nivas College Road, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore",99 Pancakes,Yes,No,4.5,345,Koramangala 5th Block,"Dessert Parlor, Cafe","Desserts, Cafe",300,Delivery,Koramangala 6th Block
"No.16/30, Ground Floor, NS Palya, Bannerghatta Main Road, BTM layout, Bangalore",Fresh Kitchen,Yes,No,3.3,25,Bannerghatta Road,Casual Dining,"North Indian, Chinese",600,Delivery,Koramangala 6th Block
"72/33, 80 Feet Road, 4th Block, Koramangala 4th Block, Bangalore",Savitha Family Restaurant,Yes,No,4.0,198,Koramangala 4th Block,Quick Bites,North Indian,500,Delivery,Koramangala 6th Block
"Shop 14, 80ft Road, Near Hanuman Temple, Koramangala 6th Block, Bangalore",Gangothri Veg Restaurant,Yes,No,3.7,93,Koramangala 6th Block,Quick Bites,"North Indian, South Indian, Chinese",300,Delivery,Koramangala 6th Block
"No.808, 7th Cross, BTM 2nd Stage, BTM Layout, BTM, Bangalore",Tandoori Paradise,Yes,No,3.5,8,BTM,Delivery,"North Indian, Chinese",600,Delivery,Koramangala 6th Block
"Ground & First Floor, 30, Sector 4, 14th Main Road, Opposite BDA Complex, HSR, Bangalore",KFC,Yes,No,3.7,630,HSR,Quick Bites,"Burger, Fast Food",400,Delivery,Koramangala 6th Block
"Domlur, Bangalore",Warm Oven,Yes,No,4.3,894,Domlur,Delivery,"Bakery, Desserts",500,Delivery,Koramangala 6th Block
"Shop 1, 100 Feet Ring Road, 1st Phase, Stage 2, BTM, Bangalore",Shaadi Ki Biryani,Yes,No,3.1,32,BTM,"Takeaway, Delivery","Biryani, North Indian, Mughlai",400,Delivery,Koramangala 6th Block
"24, 1st D Main, Jakkasandra, Koramangala 1st block.",Potful,Yes,No,3.9,161,Koramangala 1st Block,Delivery,"Biryani, Kebab, Rolls, Mughlai",650,Delivery,Koramangala 6th Block
"15, 16th Main Road, Tavarekere Road, BTM, Bangalore",Ghee Biryanis,Yes,No,3.5,139,BTM,"Takeaway, Delivery","Biryani, North Indian",500,Delivery,Koramangala 6th Block
